image_path,device_type,defect_type,text_prompt
data\Laptop-damage-detection-testing.v1i.coco\20240906135024_top_jpg.rf.5208e5dac56042173bcc9ab024ee3dec.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\30_jpg.rf.300db5940e9a3b918695cfc77e7065d9.jpg,laptop,keyboard malfunction,The keyboard is broken.
data\Laptop-damage-detection-testing.v1i.coco\386884550_856628329109809_4430599761854262884_n_jpg.rf.51f03c80dac98a357f284c376beb539b.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\600014337_jpg.rf.ddbda16566ecdc41f2cf45e5f5031406.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20220907_160208-0-_jpg.rf.a1bebb927e0162771a58494b0f092c08.jpg,laptop,keyboard malfunction,"The keyboard is malfunctioning, with a key missing."
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-18-31-32_jpg.rf.494db8e764791e3f32610ac169ebe880.jpg,laptop,keyboard malfunction,The keyboard is not functioning properly.
data\Laptop-damage-detection-testing.v1i.coco\20240910153213_bottom_jpg.rf.f4a35a1d651743ec066a2ed1e1c9c07e.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240913122802_top_jpg.rf.ab21ff5bdfad8157578c8c43cc595987.jpg,laptop,back panel damaging,The back panel of the device is damaged.
data\Laptop-damage-detection-testing.v1i.coco\12-icjcbbufbpe11_jpg.rf.4c10771bc5316b3d76977f9c9c2da6fa.jpg,laptop,back panel damaging,"The back panel of the laptop is damaged, with a crack in the plastic."
data\Laptop-damage-detection-testing.v1i.coco\20240913123144_top_jpg.rf.bf8f47683716eaca233e7118732c9649.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\850-G3-i5-6300U-500-8_jpg.rf.3251d64130215f01166865a57b1de7f5.jpg,laptop,back panel damaging,"The back panel of the laptop is damaged, with a crack running through it."
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-16-38-47_jpg.rf.110afb982d87fe35753a5a506ebf3abb.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-14-34-26_jpg.rf.6d66d2f723a171c14ccf59c9a070fab9.jpg,laptop,back panel damaging,The back panel of the device is damaged.
data\Laptop-damage-detection-testing.v1i.coco\370249993_347309641087068_309674323319470619_n_jpg.rf.7fb02b95504010e9120c43d3966084fc.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-18-38-53_jpg.rf.88cb65ac288032797775fecd30c07208.jpg,laptop,charging port issue,The charging port is broken.
data\Laptop-damage-detection-testing.v1i.coco\20240913122802_top_jpg.rf.3b33fe8e2fec5995d3711c537e23e5f4.jpg,laptop,back panel damaging,The back panel of the device is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240906132353_top_jpg.rf.db6ddeb132744dc15ed85f32e05d4e98.jpg,laptop,back panel damaging,The back panel of the device is damaged.
data\Laptop-damage-detection-testing.v1i.coco\46-b407fuwgtwy51_jpg.rf.b94a738286c4b20d81d056b86828d7d6.jpg,laptop,charging port issue,The charging port is broken.
data\Laptop-damage-detection-testing.v1i.coco\20240910152821_bottom_jpg.rf.844ce0ae820cf1be983335e95944dcda.jpg,laptop,back panel damaging,The back panel of the device is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240910153128_bottom_jpg.rf.dc568aa542391dd00d092217a89716fd.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\5710013757_jpg.rf.19719db76a66d2abc122c1b09ab04466.jpg,laptop,back panel damaging,"The back panel of the laptop is damaged, with a cracked screen and a shattered keyboard."
data\Laptop-damage-detection-testing.v1i.coco\20220907_160213_jpg.rf.c4078cef1473f73ab979dcdf0d930ac4.jpg,laptop,keyboard malfunction,The keyboard is missing a key.
data\Laptop-damage-detection-testing.v1i.coco\-223014448_jpeg.rf.bde57c8f390598dc05b575d58e588bba.jpg,laptop,screen scratch,The screen has a scratch on it.
data\Laptop-damage-detection-testing.v1i.coco\6500014153_jpg.rf.8ab6397b7ed4ae3a3a20f0dabf593eab.jpg,laptop,keyboard malfunction,The keyboard is broken and has a cracked screen.
data\Laptop-damage-detection-testing.v1i.coco\30_jpg.rf.b8a4c3b613d49d502f4b9f6846fc9c7c.jpg,laptop,keyboard malfunction,The keyboard is broken.
data\Laptop-damage-detection-testing.v1i.coco\29_jpg.rf.9f78a02bc1c88f0f1f45264d7821afb7.jpg,laptop,cracked screen,The screen is cracked and broken.
data\Laptop-damage-detection-testing.v1i.coco\20240112_C223013901-6-_jpg.rf.ee5c4cbf5feb7b5352f47501fb7d6289.jpg,laptop,screen scratch,The image has a screen scratch.
data\Laptop-damage-detection-testing.v1i.coco\6100013168_jpg.rf.98767dfabb9d33c67b85c3372c685282.jpg,laptop,normal device,The laptop is missing its screen.
data\Laptop-damage-detection-testing.v1i.coco\600014301_jpg.rf.1ec0fe6e3eb10ee78f2abaa2cd423fe0.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\386477968_1344731392797029_5575715056584165488_n_jpg.rf.cef16e3a2e0a9c750a1e9ea8f048d809.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\2800013425_jpg.rf.e1306f26899ec868972e530d1185beb8.jpg,laptop,back panel damaging,"The back panel of the laptop is damaged, with a cracked screen and a broken keyboard."
data\Laptop-damage-detection-testing.v1i.coco\20240913123033_top_jpg.rf.4e3e8ef97d995b8e4a59f40130529e84.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\387536439_1981249195585520_8824663521566823273_n_jpg.rf.d1ea21e7b47747275c008b914ea3c195.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-17-55-43_jpg.rf.8b529d12b1766f67f20c53bcb24ce161.jpg,laptop,charging port issue,The charging port is damaged.
data\Laptop-damage-detection-testing.v1i.coco\370082498_699386798909721_2604580787779817296_n_jpg.rf.6f6fd8a267e0b9c14c04e64efcf52b57.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-17-59-10_jpg.rf.9257f2930adfc533544d992498e983d8.jpg,laptop,charging port issue,The charging port is missing.
data\Laptop-damage-detection-testing.v1i.coco\386477968_1344731392797029_5575715056584165488_n_jpg.rf.1a5b3e6dc72ee4da0abe771fdce97fc2.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240906133458_top_jpg.rf.2fd802160731ffe763bc3d805190c83c.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\600014337_jpg.rf.5b2b0e65f60f1b2e0101494ddf548896.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240910153139_bottom_jpg.rf.a26bd3b7876124ea48523973fa923e2b.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\700-700_jpg.rf.1f4ee1757f45a41520ae6af2e3db71ac.jpg,laptop,back panel damaging,The back panel is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240910153128_bottom_jpg.rf.cb50cbcf4f5bc55dfb8342ce261ae9ee.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\-_57_jpg.rf.4fac82b15165a7142a05b33075b91399.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\277da103c55e117b1773783056f78f4d_jpg.rf.84617bca917f8c64d92c92a0d1576188.jpg,laptop,display flickering,"The image shows a computer screen with a small black arrow on it. The arrow is located in the middle of the screen, and it appears to be flickering. This could be due to a display issue or a problem with the computer's hardware. The flickering arrow might be distracting or confusing for the user, and it could potentially cause problems with the user's"
data\Laptop-damage-detection-testing.v1i.coco\386870979_667448808471839_1849354985514905760_n_jpg.rf.06eedfcebb8c4fafb2b9562115a21f6a.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\370292903_1394141611482903_357238308047406006_n_jpg.rf.c930ed91cf43518d000bb40564a91829.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\387333767_999843797963357_3373433226000860989_n_jpg.rf.dc9a5af8368c6b28b91d29d6dd161201.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\700-700_jpg.rf.96d6cb374147cced2b83566cb9ca5ba5.jpg,laptop,back panel damaging,The back panel is damaged.
data\Laptop-damage-detection-testing.v1i.coco\2_jpg.rf.d20481903d5785e2cde71978a876e586.jpg,laptop,display flickering,The display is flickering.
data\Laptop-damage-detection-testing.v1i.coco\7100014452_jpg.rf.511d037997dc6745df0c19db8df2f860.jpg,laptop,battery swelling,The image shows a cell phone with a swollen battery.
data\Laptop-damage-detection-testing.v1i.coco\101_jpeg_jpg.rf.12eee86407077258529df4329838c721.jpg,laptop,keyboard malfunction,The keyboard is missing some keys.
data\Laptop-damage-detection-testing.v1i.coco\20240913123033_top_jpg.rf.c81e8cf5134a363e394a92f32c09b2e0.jpg,laptop,battery swelling,"The image shows a laptop computer with a battery swelling defect. The laptop is open and the battery is swelling, indicating a potential issue with the device's power source."
data\Laptop-damage-detection-testing.v1i.coco\387536928_1109335957112618_3816927098928686102_n_jpg.rf.aed5ed32b78a66a4b002f4170662050f.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240906135024_top_jpg.rf.51a71a0e0688ac3452e4dd807b5fd622.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20220907_155355_jpg.rf.8bd3e039eea29aee863c94d9a83ebe59.jpg,laptop,keyboard malfunction,The keyboard is broken.
data\Laptop-damage-detection-testing.v1i.coco\600014359_jpg.rf.6892ced3490d3af9cbb1b88838d58219.jpg,laptop,back panel damaging,"The back panel of the device is damaged, with a missing piece."
data\Laptop-damage-detection-testing.v1i.coco\20220907_155343-0-_jpg.rf.e83c8f5728b79fc4eb45b495563ffd89.jpg,laptop,keyboard malfunction,The keyboard is black.
data\Laptop-damage-detection-testing.v1i.coco\600014336_jpg.rf.3c3c31ba13a643a7b150be73bebdeb4e.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240913123033_top_jpg.rf.f4f486196f7f214040f6baa37242b16f.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-18-25-30_jpg.rf.8682e972e80c117e94fb395a8d361556.jpg,laptop,back panel damaging,The back panel of the device is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20220907_160225-1-_jpg.rf.595f9bd3b38d63d9f75303216e26c485.jpg,laptop,keyboard malfunction,The keyboard is broken.
data\Laptop-damage-detection-testing.v1i.coco\370293564_336508052207587_1766574074299814173_n_jpg.rf.c47109bfc6b3d9f6793397dd51abe523.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\25_png_jpg.rf.67e5d6206397b36b504431a7f0ce7b6f.jpg,laptop,physical dent,The dent is located on the left side of the image.
data\Laptop-damage-detection-testing.v1i.coco\20240910153139_bottom_jpg.rf.1253e44cba1ea22f069c470bfffd01fc.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\700-700_jpg.rf.3ecf22677b27fd9c666c2a523d78bc23.jpg,laptop,back panel damaging,The back panel is damaged.
data\Laptop-damage-detection-testing.v1i.coco\387472915_2934580083339345_5531479834033312923_n_jpg.rf.86edf70cf4c84135c491ac898b43e440.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\1400013298_jpg.rf.266cf023ff53f9a4d5678fbd649790f8.jpg,laptop,keyboard malfunction,The keyboard is broken.
data\Laptop-damage-detection-testing.v1i.coco\370262362_811861507610740_5903580242507620236_n_jpg.rf.9a549fb2a39c00072cf13ca3348b6f1a.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\370197575_280865421487294_7982785502145262537_n_jpg.rf.48c0a2e133f20155737881f56023abc2.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\600014349_jpg.rf.836133ea1b5a1b932aba179d06c46628.jpg,laptop,back panel damaging,The back panel of the device is damaged.
data\Laptop-damage-detection-testing.v1i.coco\385395849_1105680957079749_7655585593885085062_n_jpg.rf.aa3fad79f21ef73949b97720ecaff075.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\370197575_280865421487294_7982785502145262537_n_jpg.rf.df45111fe86297583e5516bf24ab2c24.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240910153011_bottom_jpg.rf.d84d87e09817a8091dd2214627ce0bff.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20220907_155411_jpg.rf.ee0c941b5d78c15d09791edcee253754.jpg,laptop,keyboard malfunction,The keyboard is missing a key.
data\Laptop-damage-detection-testing.v1i.coco\370082498_699386798909721_2604580787779817296_n_jpg.rf.3d722a7a5bf2b76bf0cfa99aba687147.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-18-50-29_jpg.rf.d182d0e027b2ede45838a3c71391bbd6.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240112_C223013901-6-_jpg.rf.c4b377084462ef36097abfff6376df7e.jpg,laptop,display flickering,The image is blurry and has a flickering display.
data\Laptop-damage-detection-testing.v1i.coco\20240913123033_top_jpg.rf.ffa8ff0a47b2e7e27f6e2353851b9a54.jpg,laptop,battery swelling,The image shows a laptop with a swollen battery.
data\Laptop-damage-detection-testing.v1i.coco\26_jpg.rf.2a3e5cffc55512c0c4ebcef8c833cead.jpg,laptop,screen scratch,The screen is cracked and has a green line going through it.
data\Laptop-damage-detection-testing.v1i.coco\1800003399_png_jpg.rf.2474f75599cc70227550672393b7c3cd.jpg,laptop,keyboard malfunction,The keyboard is not functioning properly.
data\Laptop-damage-detection-testing.v1i.coco\-223013872_2024-01-12_14-54-49_jpg.rf.0117382c67779978f90279929ca79759.jpg,laptop,screen scratch,The screen has a scratch on it.
data\Laptop-damage-detection-testing.v1i.coco\75_jpg.rf.ada2b70ba602e66ff7f07d8025295c60.jpg,laptop,keyboard malfunction,The keyboard is missing keys.
data\Laptop-damage-detection-testing.v1i.coco\5710013753_jpg.rf.4e671a3ded87c7364893586af4831f79.jpg,laptop,back panel damaging,"The back panel of the laptop is damaged, with a cracked screen and a broken keyboard."
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-16-49-34_jpg.rf.8269b1dafe24fa6ed58080b9f7e429b5.jpg,laptop,charging port issue,The charging port is missing.
data\Laptop-damage-detection-testing.v1i.coco\20240913123105_top_jpg.rf.255d7a1ec1e722ebc78ebb89aa17f6b8.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\902e0d8552f23fb35be5e45561852f84_i-35_jpg.rf.4fd6c8d5f9d227428125b112712f9185.jpg,laptop,display flickering,The image shows a computer screen with a small bug on it.
data\Laptop-damage-detection-testing.v1i.coco\370262362_811861507610740_5903580242507620236_n_jpg.rf.3e1432c4c05c36259fb4d24d525b9109.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20220907_160225-1-_jpg.rf.4f0cb373b3a7d432cb17d0775f1f3331.jpg,laptop,keyboard malfunction,The keyboard is missing a key.
data\Laptop-damage-detection-testing.v1i.coco\1900011708_png_jpg.rf.c47c67a07f2d983a50568c66905189b5.jpg,laptop,back panel damaging,The back panel is damaged.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-16-40-18_jpg.rf.7cb5c82f39b7e63098c1d0551634ea96.jpg,laptop,cracked screen,The screen is cracked.
data\Laptop-damage-detection-testing.v1i.coco\384537527_6505540196234790_6681892915337842260_n_jpg.rf.3864693d38f084f058149fccee8e1f89.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\370120669_876293337526455_6973027296132937885_n_jpg.rf.d478071a4ce2f6904bb041139f1fb469.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\387556298_1090981735203056_5982827531060351580_n_jpg.rf.31bfda8bbe0ba66ae5b4a27b6d1b880b.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\387459687_851659923067403_3822777885389831890_n_jpg.rf.63fba41ba70cf7597d2fe25c5c39112e.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240913122802_top_jpg.rf.5c31cfad41b34522c0ea03e7bebd6ee3.jpg,laptop,back panel damaging,The back panel of the device is damaged.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-18-47-18_jpg.rf.d04a275d696f8f27ff76f8f622c8d941.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\384537527_6505540196234790_6681892915337842260_n_jpg.rf.72eb578d95c64784ee03548bc3ce06d8.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\384537527_6505540196234790_6681892915337842260_n_jpg.rf.0e9c41b5376fcfdc432fcce37b090cf5.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-17-23-16_jpg.rf.090eeba3b064f1a8d1bfc52e036cc066.jpg,laptop,battery swelling,The image shows a cell phone with a swollen battery.
data\Laptop-damage-detection-testing.v1i.coco\20240906133458_top_jpg.rf.a6a025a06dc98e4797f10bad0a47b65b.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\387588554_724350416221349_3031443269795842578_n_jpg.rf.0fad02f2be6db573b38dd14663cb4f21.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\387459687_851659923067403_3822777885389831890_n_jpg.rf.b084b0ecf4546c27da8bf7af971b5743.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\387530029_315099951165164_3928474233643706499_n_jpg.rf.ea893b2e6cb64840ed1fe5055a30349b.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\387550465_345137534747423_2923349850042572787_n_jpg.rf.c616c1ce7adabebe94eb2c5c99d3463d.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\600014359_jpg.rf.425cb17a6eee5cfa3a4ee683336b47d2.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\370082498_699386798909721_2604580787779817296_n_jpg.rf.436c6568f6159cc53f0f49976d57f430.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\385498683_853287709530521_1400322349940815434_n_jpg.rf.4ce2229f1767ffc934b26a0b98549284.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\387333767_999843797963357_3373433226000860989_n_jpg.rf.4611a0a5095bd188141073cb17426978.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\370151487_1627358067792700_2294245155332549098_n_jpg.rf.8745edd15db813b6e54d512150e668df.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20220907_160225-0-_jpg.rf.55716c30f63a2d2447a3362ff9400cd9.jpg,laptop,keyboard malfunction,The keyboard is black and has a few keys missing.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-18-07-23_jpg.rf.8f2a1e149e25620095f5a83e2bbb8a7b.jpg,laptop,back panel damaging,The back panel of the device is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240910152821_bottom_jpg.rf.0971c664c334e04bb37f0867abeea421.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\368522237_1996070060777759_2692032018839184843_n_jpg.rf.835223bb4fbdb303d4cf6a5899a74603.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\387588554_724350416221349_3031443269795842578_n_jpg.rf.1649e4aba0a8e79fdc8fbc54529b7f2a.jpg,laptop,back panel damaging,"The back panel of the laptop is damaged, with a visible crack."
data\Laptop-damage-detection-testing.v1i.coco\370228014_714353090587826_5061806500961603007_n_jpg.rf.9d2e1ba4bad1f037f1e839042a606913.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\370059584_253807157654835_1991263673734689569_n_jpg.rf.165a078c3bba86f24b10eb40e66018b4.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\386477968_1344731392797029_5575715056584165488_n_jpg.rf.77398737d430b5f8f0c585a0fa504701.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-17-55-43_jpg.rf.78b19344195f1f00bccecb2219fa863d.jpg,laptop,broken hinge,The image shows a broken hinge on a device.
data\Laptop-damage-detection-testing.v1i.coco\20240910152838_bottom_jpg.rf.9674883fa6d9685838ac19881bb01a2f.jpg,laptop,back panel damaging,The back panel of the device is damaged.
data\Laptop-damage-detection-testing.v1i.coco\387459687_851659923067403_3822777885389831890_n_jpg.rf.230ef985bc64b7849854a5debca59c64.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\386884550_856628329109809_4430599761854262884_n_jpg.rf.d52bbc346bb022834ee38dffebd0a92d.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\6700013785_jpg.rf.a09910a7c2551ba11f7ffcae55763a0b.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\25_png_jpg.rf.b4ac32b71706255d1e66ba191e566417.jpg,laptop,battery swelling,"The image shows a white surface with a black and white logo on it. The logo is described as a battery swelling, which is a defect in the device. The swelling is located in the middle of the logo, and it appears to be a significant part of the image."
data\Laptop-damage-detection-testing.v1i.coco\24_jpg.rf.1b9eaee26b693acd166a74ea75f5951e.jpg,laptop,screen scratch,The screen of the laptop is cracked and has a scratch on it.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-18-44-44_jpg.rf.d07736d91bb7269097a8a83ee01d9b0e.jpg,laptop,cracked screen,The screen is cracked.
data\Laptop-damage-detection-testing.v1i.coco\20220907_160234_jpg.rf.7270d26785544905b50f4bbf806e8f69.jpg,laptop,keyboard malfunction,The keyboard is black and has a key missing.
data\Laptop-damage-detection-testing.v1i.coco\7100014415_jpg.rf.501ab97cccd6b39067a2bac55cfd51ca.jpg,laptop,battery swelling,The image shows a silver cell phone with a battery swelling defect.
data\Laptop-damage-detection-testing.v1i.coco\20220907_155352-0-_jpg.rf.cb8e2659cccb228a951d218ea477591f.jpg,laptop,keyboard malfunction,The keyboard is black and has a key missing.
data\Laptop-damage-detection-testing.v1i.coco\387519397_1009230763456595_1080168407445218832_n_jpg.rf.bddd53b2621d55ab1b0d8ab8c4ea89d4.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\370249993_347309641087068_309674323319470619_n_jpg.rf.548a11f694b0930038537be60af823ec.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\2800003036_jpg.rf.741037bf71dcd9b5d47d7ced8672e4dc.jpg,laptop,normal device,The laptop is missing a screen.
data\Laptop-damage-detection-testing.v1i.coco\20240906135024_top_jpg.rf.6552cecf5099a1d1de5ff6dec06b76fd.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\7_jpg.rf.27ae0ce2a78dd463aeb921172b97d748.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\370244757_339461181889105_482276015014448608_n_jpg.rf.d5b10602a5cea3cfed50f208c4384448.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\6500014174_jpg.rf.72741aa3bcdabf93bb70f3035dc6a7e7.jpg,laptop,screen scratch,The laptop screen has a scratch on it.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-14-34-26_jpg.rf.1f4c054be84168a7549e9b979ab1985e.jpg,laptop,back panel damaging,The back panel of the device is damaged.
data\Laptop-damage-detection-testing.v1i.coco\7100014334_jpg.rf.96e31127be815535ff67216a8a2f03d6.jpg,laptop,battery swelling,The image shows a silver laptop with a battery swelling.
data\Laptop-damage-detection-testing.v1i.coco\20220907_160212-1-_jpg.rf.2d584d785e534c4e878fd32e410f4221.jpg,laptop,keyboard malfunction,The keyboard is missing a key.
data\Laptop-damage-detection-testing.v1i.coco\20240910152821_bottom_jpg.rf.cd5432505c4132d613dcf3b1aa726b56.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\387542258_743922817769641_992740013421046499_n_jpg.rf.201ff32673ff7ba6e3402dcc82ca715a.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\370060857_232952403109249_2201671253730766584_n_jpg.rf.027ca798c162f6da43e62594d3e79c13.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\2800013444_jpg.rf.3fb0ace6a979c24e1444143b1f2b6bcb.jpg,laptop,cracked screen,The screen is cracked.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-13-40-28_jpg.rf.fe557f98a6ca7dcb05dfbb87fe282cc1.jpg,laptop,normal device,The device is a cell phone.
data\Laptop-damage-detection-testing.v1i.coco\20240910152821_bottom_jpg.rf.0c66328201cda292a3e2fab573a9b203.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-16-44-36_jpg.rf.c5a40d26faf1ac54bdbe07d0632935fe.jpg,laptop,charging port issue,The charging port is broken.
data\Laptop-damage-detection-testing.v1i.coco\20220907_160223-1-_jpg.rf.f933c182af9a04d7bd21acc4649f3229.jpg,laptop,back panel damaging,The back panel is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240913123359_top_jpg.rf.907ecbd70dc9255120fc804eafd91804.jpg,laptop,back panel damaging,The back panel of the device is damaged.
